read_id	kraken_status	kraken_genus	kraken_species	true_genus	true_species	predicted_genus	predicted_species	is_correct_genus	score	margin	top_hit_genera	top_hit_genera_with_scores
NZ_CP174491.1-160165	U	-	-	Salmonella	enterica	Escherichia	coli	False	1.891248	0.4954	Klebsiella; Mycobacterium; Pseudomonas; Pseudomonas; Klebsiella; Escherichia; Escherichia; Mycobacterium; Escherichia; Escherichia	Klebsiella:0.4805 | Mycobacterium:0.4768 | Pseudomonas:0.4743 | Pseudomonas:0.4743 | Klebsiella:0.4739 | Escherichia:0.4739 | Escherichia:0.473 | Mycobacterium:0.4724 | Escherichia:0.4722 | Escherichia:0.4722
NZ_CP174491.1-168508	U	-	-	Salmonella	enterica	Klebsiella	pneumoniae	False	2.524904	0.2047	Klebsiella; Klebsiella; Klebsiella; Klebsiella; Salmonella; Salmonella; Klebsiella; Salmonella; Escherichia; Salmonella	Klebsiella:0.5059 | Klebsiella:0.5057 | Klebsiella:0.5055 | Klebsiella:0.5052 | Salmonella:0.5038 | Salmonella:0.5025 | Klebsiella:0.5025 | Salmonella:0.5021 | Escherichia:0.5002 | Salmonella:0.4996
NZ_CP174491.1-237710	U	-	-	Salmonella	enterica	Acinetobacter	baumannii	False	2.310051	0.3846	Listeria; Listeria; Listeria; Streptococcus; Acinetobacter; Acinetobacter; Staphylococcus; Acinetobacter; Acinetobacter; Acinetobacter	Listeria:0.4795 | Listeria:0.4741 | Listeria:0.468 | Streptococcus:0.4656 | Acinetobacter:0.4631 | Acinetobacter:0.4631 | Staphylococcus:0.4618 | Acinetobacter:0.4614 | Acinetobacter:0.4614 | Acinetobacter:0.461
NZ_CP174491.1-321941	U	-	-	Salmonella	enterica	Staphylococcus	aureus	False	3.241292	0.5818	Staphylococcus; Staphylococcus; Staphylococcus; Staphylococcus; Staphylococcus; Staphylococcus; Staphylococcus; Salmonella; Salmonella; Salmonella	Staphylococcus:0.4659 | Staphylococcus:0.4659 | Staphylococcus:0.4659 | Staphylococcus:0.4609 | Staphylococcus:0.4609 | Staphylococcus:0.4609 | Staphylococcus:0.4609 | Salmonella:0.4554 | Salmonella:0.4535 | Salmonella:0.4467
NZ_CP174491.1-86083	U	-	-	Salmonella	enterica	Klebsiella	pneumoniae	False	2.437639	0.1984	Salmonella; Klebsiella; Escherichia; Escherichia; Escherichia; Klebsiella; Escherichia; Klebsiella; Klebsiella; Klebsiella	Salmonella:0.4913 | Klebsiella:0.49 | Escherichia:0.4896 | Escherichia:0.4886 | Escherichia:0.4886 | Klebsiella:0.4883 | Escherichia:0.4871 | Klebsiella:0.4871 | Klebsiella:0.4861 | Klebsiella:0.4861
NZ_CP174492.1-3182	U	-	-	Salmonella	enterica	Streptococcus	pyogenes	False	1.857639	0.494	Staphylococcus; Streptococcus; Streptococcus; Staphylococcus; Klebsiella; Streptococcus; Acinetobacter; Acinetobacter; Streptococcus; Listeria	Staphylococcus:0.4772 | Streptococcus:0.4706 | Streptococcus:0.4662 | Staphylococcus:0.4629 | Klebsiella:0.4615 | Streptococcus:0.4612 | Acinetobacter:0.4602 | Acinetobacter:0.4602 | Streptococcus:0.4597 | Listeria:0.4593
NZ_CP174493.1-182	U	-	-	Salmonella	enterica	Streptococcus	agalactiae	False	4.456615	0.8865	Escherichia; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus; Streptococcus	Escherichia:0.5058 | Streptococcus:0.498 | Streptococcus:0.4966 | Streptococcus:0.4962 | Streptococcus:0.496 | Streptococcus:0.4957 | Streptococcus:0.4936 | Streptococcus:0.4936 | Streptococcus:0.4936 | Streptococcus:0.4934
NZ_CP174493.1-405	U	-	-	Salmonella	enterica	Acinetobacter	baumannii	False	3.075043	0.6737	Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Klebsiella; Klebsiella; Listeria; Escherichia	Acinetobacter:0.5164 | Acinetobacter:0.5164 | Acinetobacter:0.5162 | Acinetobacter:0.5118 | Acinetobacter:0.5118 | Acinetobacter:0.5025 | Klebsiella:0.5017 | Klebsiella:0.5017 | Listeria:0.4995 | Escherichia:0.4982
NZ_CP174493.1-503	U	-	-	Salmonella	enterica	Acinetobacter	baumannii	False	4.279968	0.5706	Acinetobacter; Staphylococcus; Staphylococcus; Staphylococcus; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter; Acinetobacter	Acinetobacter:0.6138 | Staphylococcus:0.6133 | Staphylococcus:0.6122 | Staphylococcus:0.6122 | Acinetobacter:0.6118 | Acinetobacter:0.6117 | Acinetobacter:0.6117 | Acinetobacter:0.6117 | Acinetobacter:0.6103 | Acinetobacter:0.6088
NZ_AP040262.1-301202	U	-	-	Salmonella	enterica	Salmonella	enterica	True	2.24363	0.6075	Salmonella; Salmonella; Klebsiella; Salmonella; Salmonella; Salmonella; Streptococcus; Escherichia; Escherichia; Listeria	Salmonella:0.4587 | Salmonella:0.4546 | Klebsiella:0.448 | Salmonella:0.4459 | Salmonella:0.4425 | Salmonella:0.4419 | Streptococcus:0.441 | Escherichia:0.4404 | Escherichia:0.4403 | Listeria:0.44
NZ_CP174491.1-24770	U	-	-	Salmonella	enterica	Salmonella	enterica	True	2.460553	0.2872	Salmonella; Salmonella; Salmonella; Salmonella; Staphylococcus; Listeria; Streptococcus; Listeria; Staphylococcus; Listeria	Salmonella:0.6186 | Salmonella:0.6156 | Salmonella:0.6139 | Salmonella:0.6124 | Staphylococcus:0.5916 | Listeria:0.5892 | Streptococcus:0.5844 | Listeria:0.5834 | Staphylococcus:0.5833 | Listeria:0.5814
NZ_CP175711.1-216251	U	-	-	Salmonella	enterica	Salmonella	enterica	True	1.986816	0.2498	Salmonella; Klebsiella; Salmonella; Klebsiella; Streptococcus; Streptococcus; Klebsiella; Acinetobacter; Salmonella; Salmonella	Salmonella:0.5006 | Klebsiella:0.4996 | Salmonella:0.4974 | Klebsiella:0.4963 | Streptococcus:0.4961 | Streptococcus:0.4955 | Klebsiella:0.4946 | Acinetobacter:0.4944 | Salmonella:0.4944 | Salmonella:0.4944
