genome_id	genus	species	split
G99	Escherichia	coli	test_heldout
G100	Escherichia	coli	train_ref
G101	Escherichia	coli	train_ref
G102	Escherichia	coli	train_ref
G103	Escherichia	coli	train_ref
G104	Escherichia	coli	test_heldout
G105	Staphylococcus	aureus	train_ref
G106	Escherichia	coli	test_heldout
G107	Escherichia	coli	train_ref
G108	Escherichia	coli	train_ref
G109	Escherichia	coli	train_ref
G110	Escherichia	coli	train_ref
G111	Escherichia	coli	train_ref
G112	Klebsiella	pneumoniae	train_ref
G113	Klebsiella	pneumoniae	train_ref
G114	Klebsiella	pneumoniae	train_ref
G115	Klebsiella	pneumoniae	train_ref
G116	Klebsiella	pneumoniae	test_heldout
G117	Klebsiella	pneumoniae	train_ref
G118	Klebsiella	pneumoniae	train_ref
G119	Klebsiella	pneumoniae	test_heldout
G120	Klebsiella	pneumoniae	test_heldout
G121	Klebsiella	pneumoniae	test_heldout
G122	Klebsiella	pneumoniae	train_ref
G123	Klebsiella	pneumoniae	train_ref
G124	Klebsiella	pneumoniae	train_ref
G125	Klebsiella	pneumoniae	train_ref
G126	Pseudomonas	aeruginosa	train_ref
G127	Pseudomonas	aeruginosa	test_heldout
G128	Pseudomonas	aeruginosa	test_heldout
G129	Klebsiella	pneumoniae	train_ref
G130	Listeria	monocytogenes	test_heldout
G131	Pseudomonas	aeruginosa	test_heldout
G132	Escherichia	coli	train_ref
G133	Listeria	monocytogenes	train_ref
G134	Listeria	monocytogenes	train_ref
G135	Listeria	monocytogenes	test_heldout
G136	Listeria	monocytogenes	train_ref
G137	Listeria	monocytogenes	train_ref
G138	Listeria	monocytogenes	train_ref
G139	Listeria	monocytogenes	train_ref
G140	Listeria	monocytogenes	train_ref
G141	Listeria	monocytogenes	train_ref
G142	Listeria	monocytogenes	test_heldout
G143	Listeria	monocytogenes	train_ref
G144	Mycobacterium	tuberculosis	train_ref
G145	Mycobacterium	tuberculosis	train_ref
G146	Mycobacterium	tuberculosis	train_ref
G147	Mycobacterium	tuberculosis	train_ref
G148	Mycobacterium	tuberculosis	train_ref
G149	Mycobacterium	tuberculosis	test_heldout
G150	Mycobacterium	tuberculosis	test_heldout
G151	Mycobacterium	tuberculosis	test_heldout
G152	Mycobacterium	tuberculosis	train_ref
G153	Mycobacterium	tuberculosis	train_ref
G154	Mycobacterium	tuberculosis	train_ref
G155	Mycobacterium	tuberculosis	train_ref
